Name,Democratic Vote Total,Republican Vote Total,Difference,Ratio,voted_democrat_in_prev,voted_the_same_past_2
Alameda,514842,95922,418920,5.367298429974354,1,1
Alpine,334,217,117,1.5391705069124424,1,1
Amador,6004,10485,4481,0.5726275631855031,0,1
Butte,41567,45144,3577,0.9207646641857168,0,0
Calaveras,7944,13511,5567,0.5879653615572497,0,1
Colusa,2661,3551,890,0.7493663756688257,0,1
Contra Costa,319287,115956,203331,2.7535185760115906,1,1
Del Norte,3485,5134,1649,0.6788079470198676,0,1
El Dorado,36404,49247,12843,0.7392125408654334,0,1
Fresno,141341,124049,17292,1.1393965287910421,1,1
Glenn,3065,5788,2723,0.5295438838977194,0,1
Humboldt,33200,18373,14827,1.8069994012953792,1,1
Imperial,32667,12704,19963,2.5713948362720402,1,1
Inyo,3155,4248,1093,0.7427024482109228,0,1
Kern,98689,129584,30895,0.7615832201506358,0,1
Kings,13617,18093,4476,0.7526115072127342,0,1
Lake,11496,10599,897,1.0846306255307105,1,1
Lassen,2224,7574,5350,0.2936361235806707,0,1
Los Angeles,2464364,769743,1694621,3.2015412936525567,1,1
Madera,17029,23357,6328,0.7290747955644988,0,1
Marin,108707,21771,86936,4.993201965917964,1,1
Mariposa,3122,5185,2063,0.6021215043394407,0,1
Mendocino,22079,10888,11191,2.0278288023512125,1,1
Merced,37317,28725,8592,1.29911227154047,1,1
Modoc,877,2696,1819,0.3252967359050445,0,1
Mono,2773,2111,662,1.313595452392231,1,1
Monterey,89088,34895,54193,2.553030520131824,1,1
Napa,39199,17411,21788,2.2513927976566537,1,1
Nevada,26053,23365,2688,1.1150438690348812,0,0
Orange,609961,507148,102813,1.2027278033236846,0,1
Placer,73509,95138,21629,0.7726565620467111,0,1
Plumas,3459,5420,1961,0.6381918819188191,0,1
Riverside,373695,333243,40452,1.121388896390922,1,1
Sacramento,326023,189789,136234,1.717818208642229,1,1
San Benito,12521,7841,4680,1.5968626450707817,1,1
San Bernardino,340833,271240,69593,1.2565735142309393,1,1
San Diego,735476,477766,257710,1.5394063202488248,1,1
San Francisco,345084,37688,307396,9.156336234345149,1,1
San Joaquin,121124,88936,32188,1.3619231807142214,1,1
San Luis Obispo,67107,56164,10943,1.1948401111031979,1,1
San Mateo,237882,57929,179953,4.10644064285591,1,1
Santa Barbara,107142,56365,50777,1.9008604630533132,1,1
Santa Clara,511684,144826,366858,3.533094886277326,1,1
Santa Cruz,95249,22438,72811,4.244986184151885,1,1
Shasta,22301,51778,29477,0.43070416006798257,0,1
Sierra,601,1048,447,0.5734732824427481,0,1
Siskiyou,7234,11341,4107,0.6378626223437087,0,1
Solano,102360,51920,50440,1.9714946070878274,1,1
Sonoma,160435,51408,109027,3.1208177715530656,1,1
Stanislaus,81647,78494,3153,1.0401686753127628,1,1
Sutter,13076,18176,5100,0.7194102112676056,0,1
Tehama,6809,15494,8685,0.43946043629792175,0,1
Trinity,2214,2812,598,0.7873399715504978,0,0
Tulare,47585,58299,10714,0.816223262834697,0,1
Tuolumne,9123,14551,5428,0.6269672187478523,0,1
Ventura,194402,132323,62079,1.4691474649153964,1,1
Yolo,54752,20739,34013,2.6400501470659146,1,1
Yuba,7910,13170,5260,0.6006074411541382,0,1
